Algoritmo;Tamano_Problema;Instancia;Semilla;Poblacion;Prob_Cruce;Prob_Mutacion;Iteraciones;Makespan;Upper_Bound;RPD_%;Tiempo_Seg;Generacion_Hallazgo;Mejor_Secuencia
AG;20x5;data/ins_20_5_00.txt;1;60;0.85;0.2;300;1286;1278;0.63;0.2781;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;2;60;0.85;0.2;300;1286;1278;0.63;0.2754;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;3;60;0.85;0.2;300;1286;1278;0.63;0.2763;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;4;60;0.85;0.2;300;1286;1278;0.63;0.2744;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;5;60;0.85;0.2;300;1278;1278;0.00;0.2756;88;16-8-14-7-13-10-5-4-2-18-12-3-17-6-15-0-1-9-19-11
AG;20x5;data/ins_20_5_00.txt;6;60;0.85;0.2;300;1286;1278;0.63;0.2783;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;7;60;0.85;0.2;300;1286;1278;0.63;0.2830;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;8;60;0.85;0.2;300;1286;1278;0.63;0.2837;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;9;60;0.85;0.2;300;1286;1278;0.63;0.2844;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;10;60;0.85;0.2;300;1286;1278;0.63;0.2817;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;11;60;0.85;0.2;300;1286;1278;0.63;0.2818;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;12;60;0.85;0.2;300;1286;1278;0.63;0.2812;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;13;60;0.85;0.2;300;1286;1278;0.63;0.2776;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;14;60;0.85;0.2;300;1286;1278;0.63;0.2808;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;15;60;0.85;0.2;300;1286;1278;0.63;0.2846;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;16;60;0.85;0.2;300;1286;1278;0.63;0.2901;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;17;60;0.85;0.2;300;1286;1278;0.63;0.2839;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;18;60;0.85;0.2;300;1286;1278;0.63;0.2775;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
AG;20x5;data/ins_20_5_00.txt;19;60;0.85;0.2;300;1286;1278;0.63;0.2776;0;2-16-8-7-14-13-10-15-12-18-5-3-4-17-0-1-9-6-19-11
