Algoritmo;Parametro;Valor;Semilla;Makespan;Upper_Bound;RPD_%;Tiempo_Seg
Memetico;tam_pobla;60;5;3037;3025;0.40;4.7335
Memetico;tam_pobla;100;1;3034;3025;0.30;6.6264
Memetico;tam_pobla;100;2;3055;3025;0.99;4.9652
Memetico;tam_pobla;100;3;3059;3025;1.12;3.8858
Memetico;tam_pobla;100;4;3035;3025;0.33;6.8400
Memetico;tam_pobla;100;5;3034;3025;0.30;5.1406
Memetico;prob_c;0.6;1;3034;3025;0.30;4.2896
Memetico;prob_c;0.6;2;3034;3025;0.30;4.4731
Memetico;prob_c;0.6;3;3043;3025;0.60;5.2286
Memetico;prob_c;0.6;4;3034;3025;0.30;4.5218
Memetico;prob_c;0.6;5;3046;3025;0.69;3.7124
Memetico;prob_c;0.75;1;3054;3025;0.96;2.9694
Memetico;prob_c;0.75;2;3062;3025;1.22;4.0811
Memetico;prob_c;0.75;3;3034;3025;0.30;4.2613
Memetico;prob_c;0.75;4;3034;3025;0.30;4.9534
Memetico;prob_c;0.75;5;3046;3025;0.69;3.7605
Memetico;prob_c;0.85;1;3034;3025;0.30;3.7343
Memetico;prob_c;0.85;2;3046;3025;0.69;7.4562
Memetico;prob_c;0.85;3;3034;3025;0.30;3.8684
Memetico;prob_c;0.85;4;3044;3025;0.63;4.1551
Memetico;prob_c;0.85;5;3037;3025;0.40;4.7335
Memetico;prob_c;0.95;1;3079;3025;1.79;3.2206
Memetico;prob_c;0.95;2;3052;3025;0.89;5.7939
Memetico;prob_c;0.95;3;3043;3025;0.60;5.6729
Memetico;prob_c;0.95;4;3067;3025;1.39;4.6395
Memetico;prob_c;0.95;5;3046;3025;0.69;5.0764
Memetico;prob_m;0.05;1;3079;3025;1.79;3.6478
Memetico;prob_m;0.05;2;3050;3025;0.83;3.7356
Memetico;prob_m;0.05;3;3040;3025;0.50;3.5660
Memetico;prob_m;0.05;4;3036;3025;0.36;5.2561
Memetico;prob_m;0.05;5;3063;3025;1.26;6.5177
Memetico;prob_m;0.1;1;3034;3025;0.30;4.7175
Memetico;prob_m;0.1;2;3041;3025;0.53;4.5612
Memetico;prob_m;0.1;3;3085;3025;1.98;2.9753
Memetico;prob_m;0.1;4;3046;3025;0.69;5.4205
Memetico;prob_m;0.1;5;3048;3025;0.76;4.0605
Memetico;prob_m;0.2;1;3034;3025;0.30;3.7343
Memetico;prob_m;0.2;2;3046;3025;0.69;7.4562
Memetico;prob_m;0.2;3;3034;3025;0.30;3.8684
Memetico;prob_m;0.2;4;3044;3025;0.63;4.1551
Memetico;prob_m;0.2;5;3037;3025;0.40;4.7335
Memetico;prob_m;0.4;1;3039;3025;0.46;10.1538
Memetico;prob_m;0.4;2;3034;3025;0.30;3.4578
Memetico;prob_m;0.4;3;3043;3025;0.60;6.4336
Memetico;prob_m;0.4;4;3039;3025;0.46;3.6689
Memetico;prob_m;0.4;5;3044;3025;0.63;7.4227
Memetico;k_torneo;2;1;3066;3025;1.36;4.0217
Memetico;k_torneo;2;2;3034;3025;0.30;6.2218
Memetico;k_torneo;2;3;3034;3025;0.30;4.1007
Memetico;k_torneo;2;4;3044;3025;0.63;5.8954
Memetico;k_torneo;2;5;3034;3025;0.30;6.7329
Memetico;k_torneo;3;1;3034;3025;0.30;3.7343
Memetico;k_torneo;3;2;3046;3025;0.69;7.4562
Memetico;k_torneo;3;3;3034;3025;0.30;3.8684
Memetico;k_torneo;3;4;3044;3025;0.63;4.1551
Memetico;k_torneo;3;5;3037;3025;0.40;4.7335
Memetico;k_torneo;4;1;3046;3025;0.69;2.8455
Memetico;k_torneo;4;2;3038;3025;0.43;4.4196
Memetico;k_torneo;4;3;3039;3025;0.46;7.5172
Memetico;k_torneo;4;4;3103;3025;2.58;4.0561
Memetico;k_torneo;4;5;3051;3025;0.86;3.9513
Memetico;k_torneo;6;1;3044;3025;0.63;3.7261
Memetico;k_torneo;6;2;3074;3025;1.62;4.7771
Memetico;k_torneo;6;3;3056;3025;1.02;4.4535
Memetico;k_torneo;6;4;3037;3025;0.40;3.6890
Memetico;k_torneo;6;5;3071;3025;1.52;2.2671
